ID_Item,Data,Qtd_Vendida,Tipo_Jogo,Tipo_Midia,Classif_Etaria,Plataforma,Nota_Critica,Lead_Time,Evento_Especial
RSG-07,2026-01-10,96,Aventura,Fisica,10+,Switch,96,15,Lancamento
RSG-08,2026-01-10,27,Estrategia,Digital,Livre,PC,84,1,Lancamento
RSG-01,2026-01-11,41,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-01-11,34,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-01-11,16,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-01-11,28,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-01-11,8,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-01-11,15,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-01-11,65,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-01-11,22,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-01-12,33,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-01-12,29,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-01-12,12,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-01-12,27,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-01-12,7,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-01-12,13,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-01-12,48,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-01-12,15,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-01-13,36,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-01-13,28,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-01-13,12,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-01-13,24,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-01-13,6,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-01-13,13,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-01-13,48,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-01-13,16,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-01-14,34,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-01-14,29,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-01-14,14,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-01-14,25,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-01-14,8,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-01-14,13,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-01-14,40,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-01-14,17,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-01-15,45,RPG,Digital,18+,PS5,94,2,Promocao
RSG-02,2026-01-15,45,Esportes,Fisica,Livre,Xbox,82,5,Promocao
RSG-03,2026-01-15,15,Cartas,Fisica,12+,Switch,88,10,Promocao
RSG-04,2026-01-15,33,Acao,Digital,16+,PC,90,1,Promocao
RSG-05,2026-01-15,10,Simulacao,Fisica,Livre,PC,75,12,Promocao
RSG-06,2026-01-15,16,Luta,Digital,14+,PS5,81,2,Promocao
RSG-07,2026-01-15,72,Aventura,Fisica,10+,Switch,96,15,Promocao
RSG-08,2026-01-15,25,Estrategia,Digital,Livre,PC,84,1,Promocao
RSG-01,2026-01-16,37,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-01-16,25,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-01-16,13,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-01-16,21,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-01-16,8,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-01-16,17,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-01-16,45,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-01-16,16,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-01-17,42,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-01-17,31,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-01-17,12,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-01-17,30,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-01-17,8,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-01-17,17,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-01-17,54,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-01-17,24,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-01-18,38,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-01-18,32,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-01-18,15,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-01-18,26,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-01-18,9,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-01-18,18,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-01-18,50,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-01-18,21,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-01-19,35,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-01-19,30,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-01-19,10,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-01-19,21,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-01-19,8,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-01-19,14,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-01-19,51,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-01-19,18,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-01-20,32,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-01-20,28,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-01-20,12,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-01-20,23,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-01-20,9,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-01-20,14,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-01-20,44,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-01-20,19,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-01-21,31,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-01-21,30,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-01-21,13,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-01-21,22,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-01-21,8,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-01-21,14,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-01-21,54,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-01-21,21,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-01-22,34,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-01-22,25,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-01-22,10,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-01-22,22,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-01-22,7,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-01-22,14,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-01-22,51,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-01-22,19,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-01-23,35,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-01-23,32,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-01-23,11,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-01-23,31,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-01-23,8,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-01-23,12,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-01-23,44,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-01-23,18,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-01-24,41,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-01-24,35,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-01-24,15,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-01-24,29,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-01-24,8,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-01-24,14,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-01-24,57,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-01-24,23,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-01-25,42,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-01-25,29,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-01-25,14,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-01-25,31,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-01-25,8,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-01-25,17,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-01-25,60,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-01-25,19,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-01-26,36,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-01-26,29,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-01-26,13,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-01-26,27,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-01-26,6,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-01-26,12,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-01-26,52,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-01-26,18,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-01-27,36,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-01-27,38,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-01-27,12,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-01-27,27,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-01-27,8,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-01-27,14,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-01-27,48,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-01-27,19,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-01-28,32,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-01-28,27,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-01-28,11,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-01-28,25,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-01-28,9,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-01-28,11,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-01-28,53,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-01-28,15,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-01-29,33,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-01-29,31,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-01-29,12,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-01-29,22,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-01-29,7,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-01-29,14,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-01-29,46,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-01-29,18,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-01-30,35,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-01-30,26,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-01-30,14,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-01-30,26,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-01-30,6,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-01-30,14,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-01-30,46,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-01-30,19,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-01-31,38,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-01-31,33,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-01-31,15,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-01-31,32,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-01-31,8,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-01-31,16,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-01-31,57,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-01-31,20,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-02-01,49,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-02-01,34,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-02-01,12,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-02-01,32,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-02-01,11,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-02-01,18,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-02-01,50,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-02-01,20,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-02-02,39,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-02-02,26,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-02-02,12,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-02-02,26,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-02-02,7,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-02-02,13,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-02-02,33,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-02-02,16,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-02-03,34,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-02-03,24,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-02-03,13,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-02-03,21,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-02-03,7,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-02-03,14,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-02-03,57,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-02-03,15,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-02-04,39,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-02-04,28,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-02-04,10,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-02-04,26,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-02-04,8,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-02-04,13,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-02-04,50,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-02-04,17,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-02-05,46,RPG,Digital,18+,PS5,94,2,Promocao
RSG-02,2026-02-05,38,Esportes,Fisica,Livre,Xbox,82,5,Promocao
RSG-03,2026-02-05,18,Cartas,Fisica,12+,Switch,88,10,Promocao
RSG-04,2026-02-05,28,Acao,Digital,16+,PC,90,1,Promocao
RSG-05,2026-02-05,12,Simulacao,Fisica,Livre,PC,75,12,Promocao
RSG-06,2026-02-05,14,Luta,Digital,14+,PS5,81,2,Promocao
RSG-07,2026-02-05,64,Aventura,Fisica,10+,Switch,96,15,Promocao
RSG-08,2026-02-05,24,Estrategia,Digital,Livre,PC,84,1,Promocao
RSG-01,2026-02-06,35,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-02-06,26,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-02-06,11,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-02-06,23,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-02-06,7,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-02-06,15,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-02-06,51,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-02-06,16,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-02-07,45,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-02-07,34,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-02-07,15,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-02-07,31,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-02-07,8,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-02-07,15,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-02-07,64,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-02-07,22,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-02-08,41,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-02-08,33,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-02-08,16,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-02-08,28,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-02-08,10,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-02-08,16,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-02-08,58,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-02-08,23,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-02-09,37,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-02-09,30,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-02-09,13,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-02-09,25,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-02-09,8,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-02-09,13,Luta,Digital,14+,PS5,81,2,Nenhum
RSG-07,2026-02-09,51,Aventura,Fisica,10+,Switch,96,15,Nenhum
RSG-08,2026-02-09,17,Estrategia,Digital,Livre,PC,84,1,Nenhum
RSG-01,2026-02-10,56,RPG,Digital,18+,PS5,94,2,Lancamento
RSG-02,2026-02-10,47,Esportes,Fisica,Livre,Xbox,82,5,Lancamento
RSG-03,2026-02-10,17,Cartas,Fisica,12+,Switch,88,10,Lancamento
RSG-04,2026-02-10,48,Acao,Digital,16+,PC,90,1,Lancamento
RSG-05,2026-02-10,11,Simulacao,Fisica,Livre,PC,75,12,Lancamento
RSG-06,2026-02-10,19,Luta,Digital,14+,PS5,81,2,Lancamento
RSG-07,2026-02-10,89,Aventura,Fisica,10+,Switch,96,15,Lancamento
RSG-08,2026-02-10,31,Estrategia,Digital,Livre,PC,84,1,Lancamento
RSG-01,2026-02-11,37,RPG,Digital,18+,PS5,94,2,Nenhum
RSG-02,2026-02-11,29,Esportes,Fisica,Livre,Xbox,82,5,Nenhum
RSG-03,2026-02-11,11,Cartas,Fisica,12+,Switch,88,10,Nenhum
RSG-04,2026-02-11,22,Acao,Digital,16+,PC,90,1,Nenhum
RSG-05,2026-02-11,8,Simulacao,Fisica,Livre,PC,75,12,Nenhum
RSG-06,2026-02-11,13,Luta,Digital,14+,PS5,81,2,Nenhum
